date,temperature,humidity,precipitation
2024-01-01,30.5,85,0.0
2024-01-02,28.2,78,0.1
2024-01-03,35.0,90,0.3
2024-01-04,40.3,75,0.0
2024-02-01,42.1,80,0.2
2024-02-02,38.7,88,0.0
2024-03-01,50.2,65,0.0
2024-03-02,55.5,70,0.4
2024-04-01,60.0,55,0.0
2024-04-02,62.8,60,0.2
2024-05-01,72.3,50,0.0
2024-05-02,75.1,48,0.0
2024-06-01,85.6,45,0.0
2024-06-02,88.2,50,0.1
2024-07-01,92.0,55,0.0
2024-07-02,95.5,60,0.0
2024-08-01,89.3,70,0.3
2024-08-02,87.7,65,0.1
2024-09-01,78.2,60,0.0
2024-09-02,75.0,65,0.0
2024-10-01,65.4,70,0.2
2024-10-02,60.9,75,0.0
2024-11-01,50.7,80,0.0
2024-11-02,45.5,85,0.1
2024-12-01,35.0,90,0.3
2024-12-02,30.2,92,0.2
